,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
52,2006,Complete,Natural Gas,lee,IL,1.407639685,4.848999278,6.256638964,600.0,41.74583951235151,-89.29977131720567
53,2006,Complete,Natural Gas,stafford,VA,102.1246036,169.6638782,271.7884817,2.0,38.4179049295653,-77.45929294153574
54,2006,Complete,Wind Onshore,benton,IN,12.72391185,0.264657367,12.98856922,250.0,40.6062694659984,-87.31093999318061
55,2006,Complete,Wind Onshore,blair,PA,0.0,138.7383984,138.7383984,38.0,40.48217286770913,-78.3507606812789
56,2006,Complete,Wind Onshore,cambria,PA,3.589366105,5.306995238,8.896361343,75.0,40.49418529767057,-78.71788306010968
57,2006,Complete,Wind Onshore,centre,PA,0.0,98.28863396,98.28863396,50.0,40.92126000143399,-77.82249856108157
58,2006,Complete,Wind Onshore,jo daviess,IL,6.326972844,40.76407942,47.09105226,100.0,42.36542372892255,-90.21094404948981
59,2006,Complete,Wind Onshore,paulding,OH,0.0,43.47762069,43.47762069,150.0,41.116763412974734,-84.58010170486557
60,2006,Complete,Wind Onshore,schuylkill,PA,5.954530391,73.65690067,79.61143106,100.0,40.70494736744855,-76.21477951152943
61,2006,Complete,Wind Onshore,somerset,PA,0.0,379.071052765,379.071052765,54.3,39.971626711763534,-79.02670353570272
62,2006,Withdrawn,Wind Onshore,champaign,OH,0.578351591,12.68525366,13.26360525,100.0,40.13923426627083,-83.76875241854191
63,2006,Withdrawn,Wind Onshore,livingston,IL,0.0,0.0,0.0,500.0,40.8919034282341,-88.55782233496889
64,2007,Complete,Coal,wise,VA,10.1882476,65.91611553,76.10436312,614.0,36.97453407709937,-82.62413781367461
65,2007,Complete,Hydro,fayette,WV,5.082479811,0.0,5.082479811,100.0,38.029749279544426,-81.0828663360952
66,2007,Complete,Natural Gas,berrien,MI,0.0,167.8313203,167.8313203,6.4,41.954473970673774,-86.41313080416977
67,2007,Complete,Natural Gas,cumberland,NJ,0.0,0.0,0.0,63.0,39.37167068678935,-75.10660259284616
68,2007,Complete,Natural Gas,harford,MD,15.81100692,26.40516281,42.21616973,130.0,39.55010556218319,-76.30775788737252
69,2007,Complete,Natural Gas,king george,VA,45.15682215,11.64498121,56.80180336,9.8,38.26817691335273,-77.15851654318722
70,2007,Complete,Natural Gas,lackawanna,PA,0.0,30.62170842,30.62170842,9.2,41.43547950758148,-75.60418146070248
71,2007,Complete,Natural Gas,montgomery,MD,30.18059371,0.0,30.18059371,4.0,39.13676328539865,-77.20358245159572
72,2007,Complete,Natural Gas,muskingum,OH,0.0,0.0,0.0,580.0,39.96575972898952,-81.94363448762263
73,2007,Complete,Natural Gas,schuylkill,PA,162.279704,6.185760081,168.4654641,10.5,40.70494736744855,-76.21477951152943
74,2007,Complete,Natural Gas,surry,VA,0.0,7.505798302,7.505798302,92.0,37.1178263898719,-76.8844697753728
75,2007,Complete,Oil,cumberland,NJ,0.0,0.0,0.0,17.0,39.37167068678935,-75.10660259284616
76,2007,Complete,Wind Onshore,allegheny,PA,0.0,15.45091007,15.45091007,70.0,40.47039916642533,-79.98554138705339
77,2007,Complete,Wind Onshore,jay,IN,0.0,68.53448471,68.53448471,120.0,40.437810318309666,-85.00576228826
78,2007,Complete,Wind Onshore,kankakee,IL,0.3622459245,10.408608754,10.770854679,350.0,41.137456819108145,-87.86198065783698
79,2007,Complete,Wind Onshore,van wert,OH,0.0,6.334410054,6.334410054,350.0,40.85541380082887,-84.59111700409092
80,2007,Complete,Wind Onshore,white,IN,0.0,6.928862891,6.928862891,202.0,40.74911164737052,-86.86492014962934
81,2008,Complete,Natural Gas,henrico,VA,25.1671024,0.0,25.1671024,8.0,37.53459785477613,-77.39324618962807
82,2008,Complete,Wind Onshore,benton,IN,0.0,0.0,0.0,200.0,40.6062694659984,-87.31093999318061
83,2008,Complete,Wind Onshore,garrett,MD,8.361647501,1.9817503065,10.343397808999999,110.0,39.52786076551828,-79.27355125907987
84,2008,Complete,Wind Onshore,hardin,OH,1.509802601,4.176769875,5.686572476,250.0,40.66015413672488,-83.65929931306782
85,2008,Complete,Wind Onshore,madison,IN,0.0,14.41078287,14.41078287,200.0,40.16143690752736,-85.71964710896368
86,2008,Complete,Wind Onshore,paulding,OH,3.948691041,5.656233113,9.604924154,150.0,41.116763412974734,-84.58010170486557
87,2008,Complete,Wind Onshore,randolph,IN,0.0,46.62828315,46.62828315,200.0,40.157347715904095,-85.01139319036812
88,2008,Complete,Wind Onshore,seneca,OH,0.0,9.676931883,9.676931883,200.0,41.12350926175438,-83.12782424710245
89,2008,Complete,Wind Onshore,white,IN,0.0,0.0,0.0,200.0,40.74911164737052,-86.86492014962934
90,2008,Withdrawn,Solar,morris,NJ,0.0,0.0,0.0,20.0,40.86247791987626,-74.54435365867012
91,2008,Withdrawn,Wind Onshore,columbia,PA,0.0,35.19063935,35.19063935,100.0,41.04821775503093,-76.40564976761706
92,2008,Withdrawn,Wind Onshore,richland,OH,6.705409786,13.80176053,20.50717031,200.0,40.77180307661345,-82.53799609841495
93,2009,Complete,Hydro,butler,OH,0.0,45.67338026,45.67338026,112.0,39.44012838380084,-84.57388716390807
94,2009,Complete,Natural Gas,anne arundel,MD,202.6177627,0.0,202.6177627,4.0,39.006687855484024,-76.603279337909
95,2009,Complete,Natural Gas,atlantic,NJ,16.87909132,30.08528055,46.96437188,5.5,39.47538692612786,-74.65848483266721
96,2009,Complete,Natural Gas,henrico,VA,45.94356814,22.16272364,68.10629178,4.0,37.53459785477613,-77.39324618962807
97,2009,Complete,Solar,gloucester,NJ,60.40373132,0.0,60.40373132,5.1,39.71581066715018,-75.13995546360321
98,2009,Complete,Solar,salem,NJ,0.0,0.0,0.0,19.9,39.587173035126,-75.34691254003255
99,2009,Complete,Wind Onshore,bradford,PA,0.0,0.0,0.0,100.5,41.78869214971548,-76.51570821597372
100,2009,Complete,Wind Onshore,paulding,OH,17.94977707,0.0,17.94977707,100.0,41.116763412974734,-84.58010170486557
101,2009,Complete,Wind Onshore,randolph,IN,16.18627298,0.0,16.18627298,200.0,40.157347715904095,-85.01139319036812
102,2010,Complete,Biomass,halifax,VA,11.77788944,76.66971524,88.44760468,47.4,36.76654925323564,-78.93512622289322
103,2010,Complete,Natural Gas,cumberland,NJ,108.4535736,7.892509205,116.3460828,63.0,39.37167068678935,-75.10660259284616
104,2010,Complete,Natural Gas,lancaster,PA,41.31685327,26.14641967,67.46327294,11.4,40.037953104715285,-76.2472221661036
105,2010,Complete,Solar,franklin,PA,0.0,12.18297177,12.18297177,13.5,39.92956518216588,-77.7215779078095
106,2010,Complete,Solar,frederick,MD,0.0,59.59307406,59.59307406,14.0,39.472673447470996,-77.39779097494278
107,2010,Complete,Solar,hunterdon,NJ,0.0,0.0,0.0,15.0,40.56334732725691,-74.91284038798322
108,2010,Complete,Solar,warren,NJ,23.42855538,76.32143060499999,99.749985975,11.8,40.85951348974019,-74.99556359608188
109,2010,Complete,Storage,luzerne,PA,0.0,47.86856751,47.86856751,20.0,41.178216994691475,-75.98501490463924
