,q_year,q_status,cod_year,type_clean,mw1,region
106,2006.0,withdrawn,2009.0,Wind,30.0,CAISO
107,2006.0,withdrawn,2008.0,Wind,150.0,CAISO
108,2006.0,withdrawn,2008.0,Wind,150.0,CAISO
109,2006.0,withdrawn,2008.0,Wind,50.0,CAISO
110,2006.0,withdrawn,2009.0,Wind,70.0,CAISO
111,2006.0,withdrawn,2009.0,Gas,550.0,CAISO
112,2006.0,operational,2021.0,Wind,500.0,CAISO
113,2006.0,withdrawn,2011.0,Solar,1200.0,CAISO
114,2006.0,operational,2009.0,Gas,49.0,CAISO
115,2006.0,withdrawn,2009.0,Gas,99.0,CAISO
116,2006.0,withdrawn,2009.0,Gas,99.0,CAISO
117,2006.0,operational,2019.0,Solar,600.0,CAISO
118,2006.0,operational,2014.0,Solar,250.0,CAISO
119,2006.0,withdrawn,2011.0,Wind,1500.0,CAISO
120,2006.0,withdrawn,2008.0,Other,27.0,CAISO
121,2006.0,withdrawn,2010.0,Gas,600.0,CAISO
122,2006.0,withdrawn,2010.0,Wind,400.0,CAISO
123,2006.0,withdrawn,2010.0,Solar,565.0,CAISO
124,2006.0,operational,2013.0,Solar,132.0,CAISO
125,2006.0,operational,2012.0,Wind,162.0,CAISO
126,2006.0,withdrawn,2010.0,Wind,140.0,CAISO
127,2006.0,withdrawn,2010.0,Gas,200.0,CAISO
128,2006.0,withdrawn,2008.0,Wind,60.0,CAISO
129,2006.0,withdrawn,2010.0,Gas,300.0,CAISO
130,2006.0,operational,2018.0,Gas,211.0,CAISO
131,2006.0,active,2008.0,Wind+Battery,60.0,CAISO
132,2006.0,withdrawn,2010.0,Gas,698.0,CAISO
133,2006.0,withdrawn,2011.0,Geothermal,75.0,CAISO
134,2006.0,withdrawn,2010.0,Gas,504.0,CAISO
135,2006.0,withdrawn,2009.0,Solar,80.0,CAISO
136,2006.0,withdrawn,2009.0,Solar,80.0,CAISO
137,2006.0,withdrawn,2009.0,Solar,320.0,CAISO
138,2006.0,withdrawn,2010.0,Gas,591.0,CAISO
139,2006.0,active,2008.0,Solar+Battery,0.0,CAISO
140,2006.0,active,2010.0,Solar+Battery,300.0,CAISO
141,2006.0,withdrawn,2011.0,Geothermal,90.0,CAISO
142,2006.0,withdrawn,2010.0,Wind,362.0,CAISO
143,2006.0,withdrawn,2014.0,Gas,47.0,CAISO
144,2006.0,withdrawn,2011.0,Gas,510.0,CAISO
145,2006.0,withdrawn,2009.0,Wind,105.0,CAISO
146,2006.0,withdrawn,2008.0,Wind,100.0,CAISO
147,2006.0,withdrawn,2009.0,Solar,250.0,CAISO
148,2006.0,withdrawn,2010.0,Gas,300.0,CAISO
149,2006.0,withdrawn,2009.0,Wind,201.0,CAISO
150,2006.0,withdrawn,2014.0,Wind,100.0,CAISO
151,2006.0,withdrawn,2013.0,Wind,100.0,CAISO
152,2006.0,withdrawn,2013.0,Wind,100.0,CAISO
153,2006.0,withdrawn,2009.0,Solar,220.0,CAISO
154,2007.0,withdrawn,2009.0,Gas,220.0,CAISO
155,2007.0,operational,2013.0,Solar,126.0,CAISO
156,2007.0,operational,2016.0,Solar,300.0,CAISO
157,2007.0,withdrawn,2010.0,Wind,1000.0,CAISO
