index,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
46,2006,Complete,Biomass,berks,PA,0.074809631,20.57264858,20.64745821,30,40.41551389,-75.92318433
47,2006,Complete,Biomass,martin,NC,0.111783875,0,0.111783875,62.5,35.84326734,-77.10860251
48,2006,Complete,Biomass,sullivan,TN,0,0,0,50,36.51240691,-82.30412917
49,2006,Complete,Natural Gas,gloucester,NJ,7.831970154,0,7.831970154,650,39.71581067,-75.13995546
50,2006,Complete,Natural Gas,king george,VA,23.87158901,16.38502208,40.25661109,11,38.26817691,-77.15851654
51,2006,Complete,Natural Gas,lebanon,PA,44.68694875,0,44.68694875,3.2,40.36586739,-76.45479658
52,2006,Complete,Natural Gas,lee,IL,1.407639685,4.848999278,6.256638964,600,41.74583951,-89.29977132
53,2006,Complete,Natural Gas,stafford,VA,102.1246036,169.6638782,271.7884817,2,38.41790493,-77.45929294
54,2006,Complete,Wind Onshore,benton,IN,12.72391185,0.264657367,12.98856922,250,40.60626947,-87.31093999
55,2006,Complete,Wind Onshore,blair,PA,0,138.7383984,138.7383984,38,40.48217287,-78.35076068
56,2006,Complete,Wind Onshore,cambria,PA,3.589366105,5.306995238,8.896361343,75,40.4941853,-78.71788306
57,2006,Complete,Wind Onshore,centre,PA,0,98.28863396,98.28863396,50,40.92126,-77.82249856
58,2006,Complete,Wind Onshore,jo daviess,IL,6.326972844,40.76407942,47.09105226,100,42.36542373,-90.21094405
59,2006,Complete,Wind Onshore,paulding,OH,0,43.47762069,43.47762069,150,41.11676341,-84.5801017
60,2006,Complete,Wind Onshore,schuylkill,PA,5.954530391,73.65690067,79.61143106,100,40.70494737,-76.21477951
61,2006,Complete,Wind Onshore,somerset,PA,0,379.0710528,379.0710528,54.3,39.97162671,-79.02670354
62,2006,Withdrawn,Wind Onshore,champaign,OH,0.578351591,12.68525366,13.26360525,100,40.13923427,-83.76875242
63,2006,Withdrawn,Wind Onshore,livingston,IL,0,0,0,500,40.89190343,-88.55782233
64,2007,Complete,Coal,wise,VA,10.1882476,65.91611553,76.10436312,614,36.97453408,-82.62413781
65,2007,Complete,Hydro,fayette,WV,5.082479811,0,5.082479811,100,38.02974928,-81.08286634
66,2007,Complete,Natural Gas,berrien,MI,0,167.8313203,167.8313203,6.4,41.95447397,-86.4131308
67,2007,Complete,Natural Gas,cumberland,NJ,0,0,0,63,39.37167069,-75.10660259
68,2007,Complete,Natural Gas,harford,MD,15.81100692,26.40516281,42.21616973,130,39.55010556,-76.30775789
69,2007,Complete,Natural Gas,king george,VA,45.15682215,11.64498121,56.80180336,9.8,38.26817691,-77.15851654
70,2007,Complete,Natural Gas,lackawanna,PA,0,30.62170842,30.62170842,9.2,41.43547951,-75.60418146
71,2007,Complete,Natural Gas,montgomery,MD,30.18059371,0,30.18059371,4,39.13676329,-77.20358245
72,2007,Complete,Natural Gas,muskingum,OH,0,0,0,580,39.96575973,-81.94363449
73,2007,Complete,Natural Gas,schuylkill,PA,162.279704,6.185760081,168.4654641,10.5,40.70494737,-76.21477951
74,2007,Complete,Natural Gas,surry,VA,0,7.505798302,7.505798302,92,37.11782639,-76.88446978
75,2007,Complete,Oil,cumberland,NJ,0,0,0,17,39.37167069,-75.10660259
76,2007,Complete,Wind Onshore,allegheny,PA,0,15.45091007,15.45091007,70,40.47039917,-79.98554139
77,2007,Complete,Wind Onshore,jay,IN,0,68.53448471,68.53448471,120,40.43781032,-85.00576229
78,2007,Complete,Wind Onshore,kankakee,IL,0.362245925,10.40860875,10.77085468,350,41.13745682,-87.86198066
79,2007,Complete,Wind Onshore,van wert,OH,0,6.334410054,6.334410054,350,40.8554138,-84.591117
80,2007,Complete,Wind Onshore,white,IN,0,6.928862891,6.928862891,202,40.74911165,-86.86492015
81,2008,Complete,Natural Gas,henrico,VA,25.1671024,0,25.1671024,8,37.53459785,-77.39324619
82,2008,Complete,Wind Onshore,benton,IN,0,0,0,200,40.60626947,-87.31093999
83,2008,Complete,Wind Onshore,garrett,MD,8.361647501,1.981750307,10.34339781,110,39.52786077,-79.27355126
84,2008,Complete,Wind Onshore,hardin,OH,1.509802601,4.176769875,5.686572476,250,40.66015414,-83.65929931
85,2008,Complete,Wind Onshore,madison,IN,0,14.41078287,14.41078287,200,40.16143691,-85.71964711
86,2008,Complete,Wind Onshore,paulding,OH,3.948691041,5.656233113,9.604924154,150,41.11676341,-84.5801017
87,2008,Complete,Wind Onshore,randolph,IN,0,46.62828315,46.62828315,200,40.15734772,-85.01139319
88,2008,Complete,Wind Onshore,seneca,OH,0,9.676931883,9.676931883,200,41.12350926,-83.12782425
89,2008,Complete,Wind Onshore,white,IN,0,0,0,200,40.74911165,-86.86492015
90,2008,Withdrawn,Solar,morris,NJ,0,0,0,20,40.86247792,-74.54435366
91,2008,Withdrawn,Wind Onshore,columbia,PA,0,35.19063935,35.19063935,100,41.04821776,-76.40564977
92,2008,Withdrawn,Wind Onshore,richland,OH,6.705409786,13.80176053,20.50717031,200,40.77180308,-82.5379961
93,2009,Complete,Hydro,butler,OH,0,45.67338026,45.67338026,112,39.44012838,-84.57388716
94,2009,Complete,Natural Gas,anne arundel,MD,202.6177627,0,202.6177627,4,39.00668786,-76.60327934
95,2009,Complete,Natural Gas,atlantic,NJ,16.87909132,30.08528055,46.96437188,5.5,39.47538693,-74.65848483
96,2009,Complete,Natural Gas,henrico,VA,45.94356814,22.16272364,68.10629178,4,37.53459785,-77.39324619
97,2009,Complete,Solar,gloucester,NJ,60.40373132,0,60.40373132,5.1,39.71581067,-75.13995546
98,2009,Complete,Solar,salem,NJ,0,0,0,19.9,39.58717304,-75.34691254
99,2009,Complete,Wind Onshore,bradford,PA,0,0,0,100.5,41.78869215,-76.51570822
100,2009,Complete,Wind Onshore,paulding,OH,17.94977707,0,17.94977707,100,41.11676341,-84.5801017
101,2009,Complete,Wind Onshore,randolph,IN,16.18627298,0,16.18627298,200,40.15734772,-85.01139319
102,2010,Complete,Biomass,halifax,VA,11.77788944,76.66971524,88.44760468,47.4,36.76654925,-78.93512622
103,2010,Complete,Natural Gas,cumberland,NJ,108.4535736,7.892509205,116.3460828,63,39.37167069,-75.10660259
104,2010,Complete,Natural Gas,lancaster,PA,41.31685327,26.14641967,67.46327294,11.4,40.0379531,-76.24722217
105,2010,Complete,Solar,franklin,PA,0,12.18297177,12.18297177,13.5,39.92956518,-77.72157791
106,2010,Complete,Solar,frederick,MD,0,59.59307406,59.59307406,14,39.47267345,-77.39779097
107,2010,Complete,Solar,hunterdon,NJ,0,0,0,15,40.56334733,-74.91284039
108,2010,Complete,Solar,warren,NJ,23.42855538,76.3214306,99.74998598,11.8,40.85951349,-74.9955636
109,2010,Complete,Storage,luzerne,PA,0,47.86856751,47.86856751,20,41.17821699,-75.9850149
110,2010,Complete,Wind Onshore,hardin,OH,0.437201928,16.04018675,16.47738868,66.7,40.66015414,-83.65929931
111,2010,Complete,Wind Onshore,pasquotank,NC,2.246413901,20.64418378,22.89059768,208,36.26723798,-76.25134778
112,2011,Complete,Biomass,campbell,VA,0,0,0,60,37.20551978,-79.09674063
113,2011,Complete,Natural Gas,brunswick,VA,1.188237919,60.94136314,62.12960106,1525.5,36.76366949,-77.8593436
114,2011,Complete,Natural Gas,franklin,VA,0.769180242,0,0.769180242,70,36.98924496,-79.84651805
115,2011,Complete,Other,new castle,DE,0,20.72183172,20.72183172,24.9,39.57992633,-75.64054972
116,2011,Complete,Solar,anne arundel,MD,178.5368049,0,178.5368049,20,39.00668786,-76.60327934
117,2011,Complete,Solar,warren,NJ,0,78.70504492,78.70504492,8,40.85951349,-74.9955636
118,2011,Complete,Solar,washington,MD,8.261804503,18.43842425,26.70022875,20,39.60680917,-77.81714716
119,2011,Complete,Wind Offshore,cape may,NJ,63.33872244,0,63.33872244,25,39.14963789,-74.80126369
120,2011,Complete,Wind Onshore,logan,IL,0,19.91313821,19.91313821,250,40.1257867,-89.36637494
121,2012,Complete,Biomass,covington,VA,6.929612642,0,6.929612642,50,37.77820686,-79.98573507
122,2012,Complete,Hydro,pleasants,WV,0,0,0,43.2,39.37094524,-81.16770317
123,2012,Complete,Natural Gas,cape may,NJ,0.794905447,0,0.794905447,447,39.14963789,-74.80126369
124,2012,Complete,Natural Gas,carroll,OH,2.84840827,0,2.84840827,742,40.57892974,-81.09182162
125,2012,Complete,Natural Gas,hamilton,OH,0,0,0,20,39.19673427,-84.54503249
126,2012,Complete,Natural Gas,loudoun,VA,0,4.820340693,4.820340693,800,39.08990083,-77.63481877
127,2012,Complete,Natural Gas,prince george's,MD,0,12.38065232,12.38065232,735.5,38.83070039,-76.8496441
128,2012,Complete,Natural Gas,union,NJ,5.604195975,0,5.604195975,17.9,40.65834647,-74.30673356
129,2012,Complete,Wind Onshore,somerset,PA,0,48.96710312,48.96710312,38.3,39.97162671,-79.02670354
130,2013,Active,Natural Gas,middlesex,NJ,0,8.190435939,8.190435939,675,40.43629879,-74.41426991
131,2013,Complete,Natural Gas,beaver,PA,3.934729485,4.858097876,8.792827361,205,40.68266486,-80.34970598
132,2013,Complete,Natural Gas,butler,OH,18.83474054,26.3931283,45.22786883,513,39.44012838,-84.57388716
133,2013,Complete,Natural Gas,cecil,MD,0.598238517,0,0.598238517,1000,39.56654283,-75.94628056
134,2013,Complete,Natural Gas,greensville,VA,2.12250259,103.2246739,105.3471765,1681,36.67878837,-77.56351483
135,2013,Complete,Solar,gloucester,NJ,126.4176025,0,126.4176025,3.8,39.71581067,-75.13995546
136,2013,Complete,Solar,northampton,VA,23.09801225,5.774503061,28.87251531,20,37.34062933,-75.87751591
